study,RCT_Z_Estimate,GPT_Z_Estimate,GPT_Z_SD,Forecast_Z_Estimate,Forecast_Z_SD
Blair1131,-1.1694065391096895,-1.3066320216629943,0.9713385968154704,-1.3903701520964922,0.9606229716601918
Bougher893,1.104394496628982,1.4113411333281036,0.8198033119296131,1.6907185313640172,0.3071056796417166
Braman751,0.8077390894785811,-0.5264047301904105,1.0366286648729972,0.3237365801170234,1.0442187705554307
CalarcoS38,-0.3896497686166908,0.15491744317918751,1.0477595400177586,-0.4189203206134292,1.041111439019012
Campbell1308,0.16539399173563707,-0.27578570802689156,1.213045069738977,-0.8143656642382805,1.1186166509761752
Cohen1099,-0.27865452914665045,-0.8428922053435104,1.017287488175797,0.21862326392768125,1.0467180556114657
Connors1226,-0.048099510422117034,-1.6735453293615175,0.6706096192753231,1.7567351265242728,0.5854106556199713
CorstangeBRIEF69,-0.5889163057624426,0.06268492616016681,1.0798581523382487,0.46003514187699135,1.0657408776455652
Craig735,1.4240126175120889,1.6138306192096623,0.5135177585383376,-0.32173507582800004,1.389601031707051
Enos700,-0.861312176785614,0.6536816528434131,1.3096310668112867,0.4864492416638888,1.3572931727730817
FaheyS78,1.8947567354093147,-0.6752353308214423,1.1528319339799369,0.7842511470167568,1.1266571359118478
HamiltonS31,2.1923070902489967,0.3930959911995539,1.0466625912728438,2.502291513263958,0.6918382176920483
Harbridge-Yong1032,1.0887454075432323,1.0209899198832235,1.0072968890020906,-0.3627198655709017,1.07120492995273
Howard823,-1.4945769027121376,1.3363708423076535,0.8996714110644072,-0.2965274193572069,1.3933344871373263
Howat1039,-0.18103050897441544,-0.5812647553483181,1.1718785054651346,-1.280307609393713,0.9409062968745655
Iles1294,-2.0523091973827654,-1.8394908913070913,0.8204916314014079,-1.452754313037742,0.9267610976501676
Kennedy1017,-1.1644517641955021,-0.3001655979419363,1.2108727142765916,-1.889922372603034,0.4007150291359741
KlarBRIEF70,-0.5553245395337028,-0.8759159948923451,1.0441075904302752,-0.42179013521125325,1.1013337635414382
KlarS44,-1.7207832538719143,1.3305457830020182,0.9054089018543119,1.094674232712388,1.0959587353045566
Krupnikov719,1.4720392463817678,-1.6688899403984294,0.3784233668233911,-0.7158731088361232,1.2877695684257862
KuruB67,-0.6938405660850777,-0.21757201526360181,1.046738134237003,-1.2305512201088196,0.9804045960791548
Levendusky741,-0.03406779052509523,-1.069162785226399,1.1126218101663983,0.23857984592382708,1.4007330597747651
McCabeS19,0.043329069281144716,0.9353004782862573,1.0488359281053763,-2.083421588898023,0.4193183302817835
McGinty730,0.713586472281485,-0.0849259759578286,1.079636445852774,1.1556687032423714,0.985847868360262
Melin1066,-1.0504132502170849,-1.989848942048011,0.6520003175853027,-0.6899511772790994,1.0727658346702058
Merolla843,-1.548186267336978,-1.360505542488414,0.8752236547908984,0.3603590671036545,1.3832669886314268
Mezzapelle1439,-0.4869086246204928,-1.7440954168281229,0.5994157083149192,0.8097148283088822,1.1198820077607592
MunschS68,-1.1204768854864928,-1.1285529684971076,0.9915898436780705,-1.1812184541725144,0.9859511169371148
SchaadS62,1.250368367021997,0.9428115029095759,1.0183498221169476,0.8321486205824249,1.0323183931572761
Schnabel903,-1.1175070623504257,-1.469965927873818,0.9227946818883752,-1.3817595268294873,0.9424611427678737
ShannonS2,-1.372498787265986,-1.6703582130162367,0.817759061935065,-1.2169213794237055,0.9702987465532529
Silverman1035,-2.0798422124140576,-2.198878822873044,0.20971849215584668,-2.1489703861905376,0.31913478000205125
Stoker1063,0.9049201932461488,1.6365164325631623,0.8809641706871415,1.4966729363225617,0.9165127619105704
Terman1029,1.58496177131193,1.4187322055617646,0.8925168799751039,2.005916955733772,0.5102410323758125
ThorsonS42,1.4374825064426684,-1.3172905906749777,0.9182394385341146,0.20971330815771266,1.403809181805359
WallaceS9,1.3935838240901994,-1.3389604895891312,0.9514275858242645,1.4436364800767232,0.9288365930217692
Williamson859,1.683122745233815,-0.5606849211841058,1.3380663708393474,-0.6270886204343111,1.31827156082546
bolsenM6,-0.3522037454200919,-1.3444276688870986,0.9067484994054588,-0.04821857191465036,1.2243888734776798
relihan1399,-0.8859633757429319,1.4365563920417086,0.7900657071763544,-1.5664977142024292,0.603371036427042
senS81,-0.8490994618309321,-1.3736410190273287,0.8614369200529863,-0.7095242473194596,1.2901099029322411
wayne841,0.4223279969175318,-1.323746254939176,0.9120291854008858,-0.6589857164071085,1.3078577459778544
willer845,0.5527704095536543,-0.5878963512522154,1.3302575891368638,0.7709243370872434,1.2664058502935502
